ent_num,alt_num,alt_type,alt_name,alt_remarks,match_1_id,match_1_name,match_1_distance,match_1_similarity,match_2_id,match_2_name,match_2_distance,match_2_similarity,match_3_id,match_3_name,match_3_distance,match_3_similarity,match_4_id,match_4_name,match_4_distance,match_4_similarity,match_5_id,match_5_name,match_5_distance,match_5_similarity
18553,28857.0,aka,EKO DEVELOPMENT & INVESTMENT FOOD COMPANY,-0- ,18553,eko development and investment company,0.1234099268913269,0.8765900731086731,46582,ekos joint stock company,0.34967041015625,0.65032958984375,48882,eko shipping limited liability company,0.36023592948913574,0.6397640705108643,50258,joint stock company eka,0.43503403663635254,0.5649659633636475,49776,limited liability company eksiton,0.460895836353302,0.539104163646698
39159,61062.0,aka,JOINT STOCK COMPANY SPECIALIZED DESIGN TECHNOLOGY BUREAU ELEKTRONNYKH SYSTEM,-0- ,38139,joint stock company design technology center elektronika,0.18766683340072632,0.8123331665992737,39159,specialized engineering and design bureau of electronic systems joint stock company,0.19365596771240234,0.8063440322875977,37696,joint stock company special design bureau turbina,0.2525932192802429,0.7474067807197571,47720,joint stock company special design bureau of instrument making and automation,0.2564086318016052,0.7435913681983948,43233,a.e. nudelman precision engineering design bureau joint stock company,0.26138031482696533,0.7386196851730347
44914,69475.0,aka,"CHUBAROV, Alexey",-0- ,49130,chichenev alexey,0.30591773986816406,0.6940822601318359,49321,alexey kosygin,0.34476280212402344,0.6552371978759766,49298,badikov alexey,0.34867286682128906,0.6513271331787109,35408,korniyenko alexey viktorovich,0.35632145404815674,0.6436785459518433,46058,kachanov oleg yurevich,0.36741459369659424,0.6325854063034058
12018,12831.0,aka,"ALIZAI, Agha Jan",-0- ,12018,alizai haji agha jan,0.04963022470474243,0.9503697752952576,12624,ishaqzai haji lal jan,0.2305329442024231,0.7694670557975769,30649,khazai ahmad,0.29098159074783325,0.7090184092521667,12595,haji abdul qayoum eissa jan,0.2926315665245056,0.7073684334754944,37959,agha-ahmadi ali,0.303188681602478,0.696811318397522
44088,68206.0,aka,URALELEKTROMED AO,-0- ,47948,urangeologorazvedka ao,0.405131459236145,0.594868540763855,47932,amige ao,0.486847460269928,0.513152539730072,25118,krymtets ao,0.4885742664337158,0.5114257335662842,47934,vnigriugol ao,0.4931759238243103,0.5068240761756897,35156,ao nii vektor,0.5002782344818115,0.4997217655181885
17686,27298.0,aka,"CUSPERT, Denis",-0- ,17686,cuspert denis mamadou,0.13929826021194458,0.8607017397880554,16958,pushilin denis,0.3343196511268616,0.6656803488731384,35674,maidanov denis,0.45719313621520996,0.54280686378479,31168,tyurin denis valeriyevich,0.4656949043273926,0.5343050956726074,28178,pain victoire,0.537336528301239,0.462663471698761
13106,14730.0,aka,"TABATABAEI, Syed",-0- ,46827,asadullah syed,0.362709105014801,0.637290894985199,27848,khamenei mojtaba,0.37430065870285034,0.6256993412971497,20244,khuri imad mtanyus,0.38202208280563354,0.6179779171943665,7329,abdurrahman mohamad iqbal,0.3822953701019287,0.6177046298980713,16229,al-qadri ahmad,0.39346402883529663,0.6065359711647034
44968,69590.0,aka,KIROVSKII ZAVOD,-0- ,49249,lyskovskii elektrotekhnicheskii zavod,0.25845855474472046,0.7415414452552795,44033,kazanskii gosudarstvennyi kazennyi porokhovoi zavod,0.27641957998275757,0.7235804200172424,44034,tambovskii porokhovoi zavod,0.2776215672492981,0.7223784327507019,45694,zavod podshipnikovykh uzlov,0.2797718644142151,0.7202281355857849,47433,oao krasnoarmeyskiy mekhanicheskiy zavod,0.28104931116104126,0.7189506888389587
6931,4909.0,aka,"TAHA, Abdul Rahman S.",-0- ,6931,yasin abdul rahman,0.2065657377243042,0.7934342622756958,12295,makki hafiz abdul rahman,0.2242308259010315,0.7757691740989685,44598,rahmani mir rahman,0.23442977666854858,0.7655702233314514,46468,baraka ali abed al rahman,0.24009203910827637,0.7599079608917236,12561,haqqani khalil al-rahman,0.24639779329299927,0.7536022067070007
11923,12698.0,aka,"TREVINO MORALES, Alejandro",-0- ,11528,trevino morales miguel,0.1282598376274109,0.8717401623725891,11923,trevino morales omar,0.16349774599075317,0.8365022540092468,17147,cabrera sarabia alejandro,0.29187124967575073,0.7081287503242493,7169,gil garcia jose alejandro,0.2927027940750122,0.7072972059249878,37976,morales cifuentes juan jose,0.29458844661712646,0.7054115533828735
